round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,1,4,7.830,7.830,+0.520,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,2,4,9.620,17.450,+0.660,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,3,4,9.220,26.670,+0.780,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,4,4,9.410,36.080,+0.960,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,5,4,9.861,45.941,+1.352,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,1,1,7.410,7.410,0.000,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,2,1,9.720,17.130,0.000,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,3,1,9.200,26.330,0.000,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,4,1,9.410,35.740,0.000,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,5,1,9.664,45.404,0.000,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,1,3,7.850,7.850,+0.440,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,2,3,9.700,17.550,+0.420,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,3,2,9.010,26.560,+0.230,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,4,2,9.260,35.820,+0.080,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,5,2,9.676,45.496,+0.092,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,1,4,8.090,8.090,+0.680,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,2,4,9.690,17.780,+0.650,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,3,4,9.030,26.810,+0.480,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,4,3,9.160,35.970,+0.230,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,5,3,9.595,45.565,+0.161,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,1,2,7.700,7.700,+0.290,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,2,2,9.760,17.460,+0.330,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,3,3,9.250,26.710,+0.380,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,4,4,9.430,36.140,+0.400,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,5,4,9.531,45.671,+0.267,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,1,1,7.740,7.740,0.000,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,2,1,9.750,17.490,0.000,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,3,1,9.110,26.600,0.000,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,4,1,9.310,35.910,0.000,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,5,1,9.593,45.503,0.000,seoul_woman
